N_t,avg_effectiveness,avg_clean_acc,avg_acc_loss
3,0.3125,0.3375,0.06666666666666668
4,0.2916666666666667,0.375,0.029166666666666674
5,0.41666666666666663,0.32499999999999996,0.07916666666666669
