N_t,avg_effectiveness,avg_clean_acc,avg_acc_loss
3,0.1875,0.9222222222222223,0.011111111111111127
4,0.125,0.9444444444444444,-0.011111111111111127
5,0.1875,0.9333333333333333,0.0
