N_t,avg_effectiveness,avg_clean_acc,avg_acc_loss
3,0.5729166666666667,0.325,0.07916666666666666
4,0.5,0.3208333333333333,0.08333333333333334
5,0.3645833333333333,0.2833333333333333,0.12083333333333332
